,num,waka
1,1,　　あきのたの かりほのいほの とまをあらみ わがころもでは つゆにぬれつつ
2,2,　　はるすぎて なつきにけらし しろたへの ころもほすてふ あまのかぐやま
3,3,　　あしびきの やまどりのをの しだりをの ながながしよを ひとりかもねむ
4,4,　　たごのうらに うちいでてみれば しろたへの ふじのたかねに ゆきはふりつつ
5,5,　　おくやまに もみぢふみわけ なくしかの こゑきくときぞ あきはかなしき
6,6,　　かささぎの わたせるはしに おくしもの しろきをみれば よぞふけにける
7,7,　　あまのはら ふりさけみれば かすがなる みかさのやまに いでしつきかも
8,8,　　わがいほは みやこのたつみ しかぞすむ よをうぢやまと ひとはいふなり
9,9,　　はなのいろは うつりにけりな いたづらに わがみよにふる ながめせしまに
10,10,　　　これやこの ゆくもかへるも わかれては しるもしらぬも あふさかのせき
11,11,　　　わたのはら やそしまかけて こぎいでぬと ひとにはつげよ あまのつりぶね
12,12,　　　あまつかぜ くものかよひぢ ふきとぢよ をとめのすがた しばしとどめむ
13,13,　　　つくばねの みねよりおつる みなのがは こひぞつもりて ふちとなりぬる
14,14,　　　みちのくの しのぶもぢずり たれゆゑに みだれそめにし われならなくに
15,15,　　　きみがため はるののにいでて わかなつむ わがころもでに ゆきはふりつつ
16,16,　　　たちわかれ いなばのやまの みねにおふる まつとしきかば いまかへりこむ
17,17,　　　ちはやぶる かみよもきかず たつたがは からくれなゐに みづくくるとは
18,18,　　　すみのえの きしによるなみ よるさへや ゆめのかよひぢ ひとめよくらむ
19,19,　　　なにはがた みじかきあしの ふしのまも あはでこのよを すぐしてよとや
20,20,　　　わびぬれば いまはたおなじ なにはなる みをつくしても あはむとぞおもふ
21,21,　　　いまこむと いひしばかりに ながつきの ありあけのつきを まちいでつるかな
22,22,　　　ふくからに あきのくさきの しをるれば むべやまかぜを あらしといふらむ
23,23,　　　つきみれば ちぢにものこそ かなしけれ わがみひとつの あきにはあらねど
24,24,　　　このたびは ぬさもとりあへず たむけやま もみぢのにしき かみのまにまに
25,25,　　　なにしおはば あふさかやまの さねかづら ひとにしられで くるよしもがな
26,26,　　　をぐらやま みねのもみぢば こころあらば いまひとたびの みゆきまたなむ
27,27,　　　みかのはら わきてながるる いづみがは いつみきとてか こひしかるらむ
28,28,　　　やまざとは ふゆぞさびしさ まさりける ひとめもくさも かれぬとおもへば
29,29,　　　こころあてに をらばやをらむ はつしもの おきまどはせる しらぎくのはな
30,30,　　　ありあけの つれなくみえし わかれより あかつきばかり うきものはなし
31,31,　　　あさぼらけ ありあけのつきと みるまでに よしののさとに ふれるしらゆき
32,32,　　　やまがはに かぜのかけたる しがらみは ながれもあへぬ もみぢなりけり
33,33,　　　ひさかたの ひかりのどけき はるのひに しづこころなく はなのちるらむ
34,34,　　　たれをかも しるひとにせむ たかさごの まつもむかしの ともならなくに
35,35,　　　ひとはいさ こころもしらず ふるさとは はなぞむかしの かににほひける
36,36,　　　なつのよは まだよひながら あけぬるを くものいづくに つきやどるらむ
37,37,　　　しらつゆに かぜのふきしく あきののは つらぬきとめぬ たまぞちりける
38,38,　　　わすらるる みをばおもはず ちかひてし ひとのいのちの をしくもあるかな
39,39,　　　あさぢふの をののしのはら しのぶれど あまりてなどか ひとのこひしき
40,40,　　　しのぶれど いろにいでにけり わがこひは ものやおもふと ひとのとふまで
41,41,　　　こひすてふ わがなはまだき たちにけり ひとしれずこそ おもひそめしか
